ID;code;name;module_ID;entityName;projectScoped;projectPath;companyPath
71000000-0000-0000-0000-000000000001;KX_PROJECT;Project;70000000-0000-0000-0000-000000000001;konstryx.prj.Project;true;code;company.code
71000000-0000-0000-0000-000000000002;KX_WBS;WBS Element;70000000-0000-0000-0000-000000000001;konstryx.prj.WBSElement;true;project.code;project.company.code
71000000-0000-0000-0000-000000000003;KX_BOQ;Bill of Quantities;70000000-0000-0000-0000-000000000001;konstryx.prj.BOQ;true;project.code;project.company.code
71000000-0000-0000-0000-000000000004;KX_CBS;Cost Breakdown Structure;70000000-0000-0000-0000-000000000001;konstryx.prj.CBSInstance;true;project.code;project.company.code
71000000-0000-0000-0000-000000000010;KX_BUDGET;Budget;70000000-0000-0000-0000-000000000002;konstryx.bud.Budget;true;project.code;company.code
71000000-0000-0000-0000-000000000011;KX_BUDGET_LINE;Budget Line;70000000-0000-0000-0000-000000000002;konstryx.bud.BudgetLine;true;cbs.project.code;
71000000-0000-0000-0000-000000000012;KX_MOB_AUTH;Mobilization Authorization;70000000-0000-0000-0000-000000000002;konstryx.bud.MobilizationAuth;true;project.code;company.code
71000000-0000-0000-0000-000000000013;KX_COST;Cost & Revenue Position;70000000-0000-0000-0000-000000000002;konstryx.ins.CostRevenueSnapshot;true;project.code;
71000000-0000-0000-0000-000000000020;KX_RESOURCE_REQ;Resource Request;70000000-0000-0000-0000-000000000003;konstryx.wf.ResourceRequest;true;project.code;company.code
71000000-0000-0000-0000-000000000021;KX_ADVISORY;Advisory Decision;70000000-0000-0000-0000-000000000003;konstryx.wf.AdvisoryDecision;true;rr.project.code;rr.company.code
71000000-0000-0000-0000-000000000022;KX_AVAILABILITY;Availability Check;70000000-0000-0000-0000-000000000003;konstryx.wf.AvailabilityCheck;true;project.code;company.code
71000000-0000-0000-0000-000000000023;KX_RESERVATION;Reservation;70000000-0000-0000-0000-000000000003;konstryx.wf.Reservation;true;project.code;company.code
71000000-0000-0000-0000-000000000024;KX_RESOURCE_REQ_LINE;Resource Request Line;70000000-0000-0000-0000-000000000003;konstryx.wf.ResourceRequestLine;true;parent.project.code;parent.company.code
71000000-0000-0000-0000-000000000030;KX_PULL_REQUEST;Stock Issue / Pull Request;70000000-0000-0000-0000-000000000004;konstryx.mat.PullRequest;true;;
71000000-0000-0000-0000-000000000031;KX_CONSUMPTION;Consumption Record;70000000-0000-0000-0000-000000000004;konstryx.mat.ConsumptionRecord;true;;
71000000-0000-0000-0000-000000000040;KX_EQUIPMENT_LINE;Equipment Request Line;70000000-0000-0000-0000-000000000005;konstryx.eq.EquipmentRequestLine;true;line.parent.project.code;line.parent.company.code
71000000-0000-0000-0000-000000000050;KX_RESOURCE_NODE;Resource Hierarchy;70000000-0000-0000-0000-000000000006;konstryx.master.ResourceNode;false;;
71000000-0000-0000-0000-000000000051;KX_RATE;Rate Master;70000000-0000-0000-0000-000000000006;konstryx.master.RateMaster;false;;
71000000-0000-0000-0000-000000000052;KX_VENDOR;Vendor;70000000-0000-0000-0000-000000000006;konstryx.master.Vendor;false;;
71000000-0000-0000-0000-000000000053;KX_CBS_LIBRARY;CBS Library;70000000-0000-0000-0000-000000000006;konstryx.master.CBSNode;false;;
71000000-0000-0000-0000-000000000054;KX_PRODUCTIVITY;Productivity Norms;70000000-0000-0000-0000-000000000006;konstryx.master.ProductivityRate;false;;
71000000-0000-0000-0000-000000000055;KX_CONSUMPTION_RATE;Consumption Norms;70000000-0000-0000-0000-000000000006;konstryx.master.ConsumptionRate;false;;
71000000-0000-0000-0000-000000000056;KX_PROJECT_TEMPLATE;Project Template;70000000-0000-0000-0000-000000000006;konstryx.master.ProjectTemplate;false;;
71000000-0000-0000-0000-000000000057;KX_MATERIAL;Material;70000000-0000-0000-0000-000000000006;konstryx.master.Material;false;;
71000000-0000-0000-0000-000000000060;KX_AUTH_ADMIN;Authorization Administration;70000000-0000-0000-0000-000000000007;konstryx.auth.Persona;false;;
71000000-0000-0000-0000-000000000061;KX_APPROVAL_CONFIG;Approval Configuration;70000000-0000-0000-0000-000000000007;konstryx.apr.ApprovalScheme;false;;company.code
71000000-0000-0000-0000-000000000062;KX_COMPANY;Company & Group Setup;70000000-0000-0000-0000-000000000007;konstryx.admin.Company;false;;code
71000000-0000-0000-0000-000000000041;KX_MANPOWER_LINE;Manpower Request Line;70000000-0000-0000-0000-000000000008;konstryx.mpr.ManpowerRequestLine;true;line.parent.project.code;line.parent.company.code
71000000-0000-0000-0000-000000000042;KX_TIMESHEET;Timesheet;70000000-0000-0000-0000-000000000008;konstryx.mpr.TimesheetEntry;true;manpowerLine.line.parent.project.code;manpowerLine.line.parent.company.code
